#{"t_start": 1769448308.860249, "env_id": "CustomHopper-source-v0"}
r,l,t
10.91728,17,0.035957
9.011326,17,0.160589
9.893433,25,0.475213
11.676797,25,0.814403
8.42298,14,0.989015
18.633945,19,1.249052
4.376835,13,1.428356
17.13825,31,1.85377
11.304945,19,2.099993
33.688239,59,2.881721
70.863605,94,4.215007
183.310396,96,5.409959
92.318131,53,6.048041
85.102007,115,7.511929
183.20733,81,8.493548
189.515017,87,9.557927
232.532302,99,10.761026
152.934222,73,11.643328
221.654152,95,12.795389
240.603732,101,14.030223
236.757488,105,15.343554
230.848181,102,16.577062
242.446789,106,17.856377
240.188632,100,19.080125
213.951131,98,20.337189
177.942897,77,21.286811
264.3717,105,22.590021
225.818514,96,23.771339
287.850022,118,25.206815
351.993703,130,26.777098
26.102684,21,27.029354
295.529616,114,28.402622
169.160351,81,29.436626
178.075046,74,30.334559
255.312143,99,31.52933
106.557682,57,32.212965
288.763873,117,33.693288
366.189532,148,35.502517
371.706229,151,37.336922
376.333339,133,38.952593
175.703073,75,39.874062
297.485358,120,41.325809
274.627146,112,42.677348
259.263145,103,43.92439
424.184306,144,45.721955
292.367087,119,47.177186
355.599474,129,48.740943
345.582446,132,50.34497
333.043335,131,51.9374
323.256677,131,53.518828
155.028124,76,54.455865
237.865937,97,55.634983
255.329755,105,56.945465
190.141618,79,57.903065
440.986863,155,59.788695
454.452117,166,61.793399
306.730923,115,63.186645
265.054458,110,64.528796
376.636548,131,66.106928
358.506176,121,67.57861
346.521672,126,69.113287
276.387528,106,70.408263
262.999296,108,71.7552
409.831287,137,73.40622
264.761353,121,74.883028
548.370183,185,77.114648
414.513121,150,78.921562
370.307146,151,80.765005
403.666857,143,82.504335
299.974548,137,84.159084
454.883738,170,86.26284
420.872725,138,87.922715
290.025118,124,89.433873
438.949316,146,91.19551
355.240055,128,92.737165
300.647843,117,94.147946
509.204111,174,96.259512
284.274963,113,97.625845
402.050274,132,99.216375
412.224955,153,101.073648
453.397494,155,102.982735
321.405489,120,104.444604
583.009852,213,107.030863
297.303647,114,108.407652
290.743436,113,109.782108
351.286049,136,111.429529
338.38025,121,112.893637
281.586158,111,114.238331
315.813229,119,115.689981
315.166413,119,117.129597
452.088573,161,119.115383
342.194263,129,120.700933
316.466095,121,122.300022
371.809435,134,123.962098
350.683354,135,125.610767
263.893681,103,126.859143
527.673129,168,128.888623
360.759243,127,130.443766
370.100598,132,132.080352
245.146796,103,133.325438
320.110327,122,134.814296
336.72919,126,136.35089
348.48554,125,137.883628
368.372076,131,139.469057
351.444996,123,140.968784
314.521306,117,142.379684
599.242393,189,144.672284
340.664482,118,146.149441
384.497706,133,147.755352
411.831373,139,149.446939
268.2849,102,150.691341
444.275635,147,152.510017
754.003366,230,155.323043
257.357605,104,156.57397
415.242366,143,158.306333
385.819194,137,160.022712
744.054263,274,163.344133
507.253844,186,165.598629
457.735647,166,167.606595
275.347424,117,169.021474
386.899263,143,170.768683
355.868588,135,172.442998
307.261547,119,173.889639
304.74427,121,175.366563
403.805741,151,177.191305
362.733105,153,179.043186
697.09513,233,181.871655
551.012293,191,184.178139
252.033502,101,185.41967
297.344273,111,186.76149
337.780161,129,188.313743
997.19618,374,192.864652
523.689129,196,195.238929
549.61766,184,197.465703
326.74874,120,198.9161
250.624626,106,200.212032
326.637271,123,201.697828
408.382016,147,203.513631
299.81451,114,204.889914
412.170794,144,206.641782
260.385386,107,207.944763
393.624456,141,209.653069
400.760123,140,211.35069
533.614093,176,213.485287
381.622579,141,215.198618
403.191474,146,216.978715
451.245655,173,219.098263
259.662893,111,220.46168
406.030857,142,222.17779
398.647314,157,224.075261
380.162307,139,225.765234
615.317772,181,227.950875
631.166477,192,230.289088
551.502879,170,232.34895
320.740609,120,233.842544
338.811985,138,235.513356
595.759996,204,237.981777
376.603915,127,239.519935
315.055295,118,240.963849
744.111887,221,243.631627
888.814019,346,247.824615
646.293643,214,250.409305
291.545091,147,252.228572
408.973245,160,254.157352
1011.270257,353,258.436289
290.612572,114,259.815521
1074.84364,377,264.383729
395.507219,139,266.0813
334.360653,123,267.562994
1238.783855,374,272.134392
593.753761,177,274.262417
349.674936,128,275.819107
828.203546,258,278.952363
616.844639,186,281.254389
407.717393,144,282.998749
267.910193,106,284.280934
357.156463,131,285.920538
910.606258,319,289.799707
573.82799,187,292.093182
374.123461,135,293.719353
514.916903,164,295.697498
773.643808,240,298.612169
548.085431,223,301.369448
381.226185,139,303.048104
332.062294,130,304.615558
312.778463,120,306.076595
266.060168,108,307.391447
765.634479,284,310.826713
275.562062,117,312.248035
923.156005,336,316.292258
396.94543,142,318.044977
752.481913,227,320.781777
320.701387,130,322.370668
1007.910375,300,325.98937
319.176111,122,327.466818
169.249107,88,328.523684
486.873427,177,330.664348
541.649466,209,333.195237
304.996871,121,334.66266
293.278466,117,336.128966
574.919252,187,338.435284
236.716535,121,339.899533
801.22619,273,343.220544
1173.052374,500,349.323583
843.671922,262,352.497005
933.212195,262,355.657358
1313.500543,419,360.670936
1449.116167,483,366.53128
543.701106,198,368.945618
254.938945,111,370.274473
578.023504,202,372.747695
417.699712,150,374.556995
335.326723,129,376.099775
270.62158,113,377.506327
956.534248,290,381.001742
630.147153,224,383.712186
250.909355,104,384.963043
1007.260473,280,388.339352
539.501561,198,390.727048
687.831263,219,393.434779
395.46367,141,395.135079
1493.093831,437,400.417644
445.981711,148,402.217301
301.213718,118,403.655538
469.08938,163,405.621803
490.061467,171,407.688286
525.00261,162,409.690325
366.758286,140,411.378406
335.950626,122,412.872733
306.490869,114,414.245838
720.837055,252,417.293532
276.864378,111,418.63667
923.255757,313,422.458081
584.630192,190,424.755153
214.323555,97,425.917483
397.013019,137,427.590727
372.715061,137,429.260972
333.220096,125,430.818164
761.914353,223,433.530417
569.467672,202,435.960848
338.598305,125,437.52183
1454.161909,432,442.783322
861.832865,273,446.070305
568.710074,206,448.5737
581.38395,211,451.162629
368.805195,134,452.794112
449.197488,158,454.711555
550.924669,171,456.77487
1444.761723,406,461.683897
308.34916,119,463.144395
390.66941,141,464.848707
429.756173,152,466.723095
383.378298,144,468.477662
451.32242,163,470.45706
349.31198,134,472.08666
931.229869,303,475.746072
560.52356,199,478.203271
906.829962,286,481.655184
1231.103193,369,486.120801
481.747129,159,488.05864
587.607842,188,490.33419
339.200418,131,491.912258
559.221428,179,494.120527
279.40569,110,495.457481
1487.776673,500,501.468496
256.321565,107,502.759
269.240002,105,504.026551
618.189118,191,506.325159
272.15247,108,507.644981
269.680921,114,509.014141
462.492386,172,511.121753
312.984063,120,512.58879
603.783377,207,515.082659
677.757211,212,517.653359
282.515522,112,518.993515
1769.699127,500,525.063474
1329.656063,429,530.227855
361.827397,133,531.841709
1288.181027,500,537.88172
261.227376,109,539.204936
300.695138,120,540.661455
304.108552,122,542.12759
277.966037,115,543.579974
701.071124,211,546.126486
798.965122,261,549.27385
427.373591,148,551.06593
1208.852301,359,555.40335
543.161286,168,557.419174
1531.416904,500,563.515872
305.153861,123,565.00261
580.321062,185,567.239224
942.131558,310,570.975905
564.524687,198,573.414971
647.966356,198,576.102394
468.585919,154,578.330644
520.10742,176,580.79597
624.566348,220,583.507026
575.835107,189,585.770393
562.410116,190,587.948042
711.565287,216,590.517358
270.971936,110,591.857056
799.838016,265,594.894101
1016.88241,304,598.457169
275.84652,112,599.823929
394.627628,144,601.751672
266.473145,110,603.385975
339.342939,131,605.086263
290.623286,118,606.530175
