#{"t_start": 1767723413.4691634, "env_id": "CustomCartPole-v0"}
r,l,t
16.0,16,0.044217
12.0,12,0.051872
20.0,20,0.066191
17.0,17,0.076339
27.0,27,0.093846
23.0,23,0.108546
28.0,28,0.195218
21.0,21,0.23486
23.0,23,0.25239
27.0,27,0.269009
16.0,16,0.279266
18.0,18,0.289975
36.0,36,0.313501
27.0,27,0.33167
12.0,12,0.338075
34.0,34,0.359799
41.0,41,0.385138
18.0,18,0.395762
16.0,16,0.404103
59.0,59,0.44032
11.0,11,0.447363
31.0,31,0.467216
22.0,22,0.482329
23.0,23,0.497024
9.0,9,0.501486
23.0,23,0.521042
23.0,23,0.538085
17.0,17,0.550486
18.0,18,0.5654
20.0,20,0.576944
12.0,12,0.585713
11.0,11,0.595572
18.0,18,0.611077
25.0,25,0.631755
17.0,17,0.646254
8.0,8,0.653161
19.0,19,0.672502
29.0,29,0.694478
16.0,16,0.703265
14.0,14,0.7127
18.0,18,0.722345
22.0,22,0.745639
29.0,29,0.767615
17.0,17,0.782146
34.0,34,0.809613
40.0,40,0.843049
53.0,53,0.879903
13.0,13,0.8916
65.0,65,0.945624
16.0,16,0.954277
13.0,13,0.965998
14.0,14,0.977643
15.0,15,0.988708
22.0,22,1.003261
47.0,47,1.030123
22.0,22,1.04339
12.0,12,1.049233
12.0,12,1.055333
20.0,20,1.066301
29.0,29,1.092474
10.0,10,1.100879
28.0,28,1.121133
33.0,33,1.141562
25.0,25,1.166315
12.0,12,1.176217
23.0,23,1.199973
14.0,14,1.21327
23.0,23,1.232842
11.0,11,1.244504
20.0,20,1.265411
29.0,29,1.291764
21.0,21,1.305114
19.0,19,1.323615
12.0,12,1.335901
13.0,13,1.346082
29.0,29,1.373358
13.0,13,1.384326
37.0,37,1.414066
40.0,40,1.450454
37.0,37,1.487879
16.0,16,1.505049
27.0,27,1.597737
19.0,19,1.633862
47.0,47,1.735357
20.0,20,1.752024
24.0,24,1.775229
22.0,22,1.822495
15.0,15,1.846617
17.0,17,1.866952
12.0,12,1.878612
13.0,13,6.226916
45.0,45,6.259529
114.0,114,6.357913
37.0,37,6.382978
49.0,49,6.414835
15.0,15,6.425451
133.0,133,6.514002
13.0,13,6.525258
34.0,34,6.555693
58.0,58,6.601516
15.0,15,6.610905
44.0,44,6.635943
40.0,40,6.66364
35.0,35,6.688961
75.0,75,6.734583
11.0,11,6.742088
27.0,27,6.759101
30.0,30,6.778555
21.0,21,6.792954
26.0,26,6.813721
14.0,14,6.821214
12.0,12,6.829319
65.0,65,6.87651
28.0,28,6.896193
34.0,34,6.918554
12.0,12,6.927518
24.0,24,6.947161
32.0,32,6.972433
16.0,16,6.986966
18.0,18,7.007406
15.0,15,7.019212
13.0,13,7.029522
39.0,39,7.05462
33.0,33,7.078096
28.0,28,7.097613
36.0,36,7.120667
27.0,27,7.138465
28.0,28,7.155075
20.0,20,7.166116
39.0,39,7.194441
32.0,32,7.215434
47.0,47,7.246377
27.0,27,7.263522
73.0,73,7.314485
38.0,38,7.342243
35.0,35,7.37014
30.0,30,7.393894
25.0,25,7.411443
33.0,33,7.433403
17.0,17,7.445979
23.0,23,7.461195
19.0,19,7.473907
15.0,15,7.483715
23.0,23,7.497298
16.0,16,7.508332
29.0,29,7.526242
30.0,30,7.548676
34.0,34,7.569158
44.0,44,7.595804
41.0,41,7.61918
16.0,16,7.629339
24.0,24,7.643353
86.0,86,11.661405
29.0,29,11.681259
84.0,84,11.731074
103.0,103,11.803085
39.0,39,11.831728
37.0,37,11.857151
69.0,69,11.90442
111.0,111,11.988881
31.0,31,12.014763
191.0,191,12.141575
16.0,16,12.151451
157.0,157,12.258166
120.0,120,12.33898
44.0,44,12.367452
122.0,122,12.445789
22.0,22,12.460917
179.0,179,12.585305
140.0,140,12.681677
89.0,89,12.739866
23.0,23,12.754996
40.0,40,12.784813
184.0,184,12.89851
118.0,118,12.975196
151.0,151,17.093421
50.0,50,17.123765
256.0,256,17.287094
121.0,121,17.373353
207.0,207,17.49828
246.0,246,17.6438
48.0,48,17.674394
80.0,80,17.720871
78.0,78,17.767938
178.0,178,17.883626
111.0,111,17.962133
54.0,54,17.998945
169.0,169,18.100655
134.0,134,18.178827
143.0,143,18.264194
262.0,262,22.576532
153.0,153,22.669523
309.0,309,22.871041
157.0,157,22.963932
138.0,138,23.045522
229.0,229,23.182113
187.0,187,23.289396
287.0,287,23.466103
200.0,200,23.600724
254.0,254,27.764694
305.0,305,27.954009
312.0,312,28.172629
276.0,276,28.350236
334.0,334,28.544913
447.0,447,28.80942
289.0,289,29.009493
500.0,500,33.206356
500.0,500,33.56998
500.0,500,33.918744
500.0,500,34.26085
