#{"t_start": 1767722872.307345, "env_id": "CustomCartPole-v0"}
r,l,t
32.0,32,0.057393
28.0,28,0.074979
16.0,16,0.087544
26.0,26,0.109264
42.0,42,0.135721
36.0,36,0.160376
25.0,25,0.177249
8.0,8,0.184
23.0,23,0.203501
17.0,17,0.219463
17.0,17,0.231393
41.0,41,0.258239
56.0,56,0.294351
18.0,18,0.305363
31.0,31,0.322379
29.0,29,0.339868
19.0,19,0.349501
26.0,26,0.365966
17.0,17,0.378915
42.0,42,0.407036
37.0,37,0.42821
22.0,22,0.442371
23.0,23,0.455984
14.0,14,0.464434
36.0,36,0.487228
15.0,15,0.496304
7.0,7,0.500367
12.0,12,0.508328
10.0,10,0.517294
48.0,48,0.557268
45.0,45,0.59378
14.0,14,0.608241
11.0,11,0.614119
9.0,9,0.619363
21.0,21,0.633005
18.0,18,0.645465
40.0,40,0.671891
33.0,33,0.692094
24.0,24,0.706846
24.0,24,0.720514
13.0,13,0.72881
55.0,55,0.773592
13.0,13,0.781603
24.0,24,0.799194
11.0,11,0.808599
8.0,8,0.815143
7.0,7,0.821521
31.0,31,0.841671
6.0,6,0.847163
22.0,22,0.866136
12.0,12,0.877611
5.0,5,0.881913
9.0,9,0.890248
13.0,13,0.900089
28.0,28,0.922471
13.0,13,0.930839
11.0,11,0.943585
12.0,12,0.953481
15.0,15,0.967092
31.0,31,0.991483
17.0,17,1.003851
5.0,5,1.008324
16.0,16,1.021691
18.0,18,1.037697
21.0,21,1.053693
15.0,15,1.067867
23.0,23,1.088207
44.0,44,1.124943
46.0,46,1.158294
67.0,67,1.197949
23.0,23,1.21743
15.0,15,1.229869
22.0,22,1.246576
18.0,18,1.258007
16.0,16,1.270466
58.0,58,1.310783
30.0,30,1.330615
35.0,35,1.351504
45.0,45,1.378961
27.0,27,1.397911
36.0,36,1.419883
27.0,27,1.43398
22.0,22,1.452993
23.0,23,1.469544
26.0,26,1.487492
95.0,95,6.275016
66.0,66,6.315712
48.0,48,6.34414
31.0,31,6.367339
44.0,44,6.395587
17.0,17,6.407385
14.0,14,6.414205
21.0,21,6.428217
19.0,19,6.442304
28.0,28,6.461823
34.0,34,6.484885
22.0,22,6.496671
21.0,21,6.508711
32.0,32,6.529238
6.0,6,6.534271
22.0,22,6.547465
111.0,111,6.620659
24.0,24,6.636298
30.0,30,6.654531
61.0,61,6.693058
40.0,40,6.719568
21.0,21,6.731795
90.0,90,6.7909
38.0,38,6.81446
36.0,36,6.836198
50.0,50,6.867031
58.0,58,6.902112
17.0,17,6.911865
74.0,74,6.958809
40.0,40,6.986146
104.0,104,7.057158
9.0,9,7.06157
32.0,32,7.080689
79.0,79,7.140675
27.0,27,7.157282
44.0,44,7.186166
49.0,49,7.223451
40.0,40,7.250334
48.0,48,7.284249
46.0,46,7.313151
23.0,23,7.331224
13.0,13,7.341109
29.0,29,7.358707
92.0,92,7.419944
78.0,78,7.477097
21.0,21,7.490287
17.0,17,7.50274
30.0,30,7.522547
51.0,51,7.555282
37.0,37,12.342828
242.0,242,12.540439
93.0,93,12.605552
52.0,52,12.647726
46.0,46,12.683421
15.0,15,12.696209
20.0,20,12.712065
21.0,21,12.72964
136.0,136,12.835374
12.0,12,12.845904
107.0,107,12.931553
14.0,14,12.941082
118.0,118,13.038455
34.0,34,13.068162
130.0,130,13.160227
53.0,53,13.194821
28.0,28,13.215633
99.0,99,13.28293
26.0,26,13.300968
73.0,73,13.364176
35.0,35,13.39344
151.0,151,13.521375
56.0,56,13.575419
51.0,51,13.625201
97.0,97,13.706008
121.0,121,13.804572
66.0,66,13.855372
47.0,47,13.889676
27.0,27,13.906105
127.0,127,18.880852
58.0,58,18.924607
226.0,226,19.150126
43.0,43,19.188065
196.0,196,19.349234
168.0,168,19.488034
37.0,37,19.514431
169.0,169,19.657697
145.0,145,19.766424
18.0,18,19.782969
101.0,101,19.865185
71.0,71,19.921774
121.0,121,20.004389
106.0,106,20.076556
92.0,92,20.160628
148.0,148,20.279274
233.0,233,20.462732
125.0,125,25.964403
43.0,43,26.012485
183.0,183,26.154147
187.0,187,26.288084
167.0,167,26.393864
39.0,39,26.420085
198.0,198,26.549468
266.0,266,26.721613
188.0,188,26.835592
224.0,224,26.970867
190.0,190,27.090931
262.0,262,27.25516
224.0,224,32.13148
343.0,343,32.544575
264.0,264,32.766731
326.0,326,33.053235
216.0,216,33.22034
329.0,329,33.452234
500.0,500,39.848727
427.0,427,40.21077
316.0,316,40.522133
500.0,500,40.938333
332.0,332,41.279114
316.0,316,41.600106
