#{"t_start": 1767913474.9230585, "env_id": "CustomHalfCheetah-v0"}
r,l,t
867.517023,1000,42.997267
977.029099,1000,74.629194
1045.706797,1000,114.448567
1082.820114,1000,154.128649
1113.255787,1000,201.961704
1155.796323,1000,248.915891
1272.11413,1000,296.191971
1433.560082,1000,343.581392
1447.773664,1000,390.657197
1529.16457,1000,438.138388
1692.662567,1000,485.201893
1696.275691,1000,531.958428
1769.937298,1000,579.170282
1769.098999,1000,626.293787
1884.103309,1000,673.298969
1927.346956,1000,724.220942
2015.057933,1000,778.977882
2150.288548,1000,833.462765
2262.827259,1000,888.34311
2170.216093,1000,942.299801
2229.556298,1000,995.99769
2307.736596,1000,1050.124635
2266.234694,1000,1104.185997
2320.830055,1000,1158.229591
2341.599247,1000,1212.40745
2297.212737,1000,1266.598846
2440.229863,1000,1320.599669
2307.26628,1000,1374.83946
2477.099116,1000,1429.316616
2417.401447,1000,1483.50994
2416.757078,1000,1537.766715
2520.120681,1000,1592.651223
2467.006446,1000,1647.029689
2483.755178,1000,1701.029145
2510.792308,1000,1755.096504
2490.56261,1000,1809.493128
2498.380861,1000,1863.953773
2494.696321,1000,1918.161677
2533.941364,1000,1972.296895
2522.365985,1000,2026.691911
2521.360729,1000,2080.825866
2522.886202,1000,2134.415353
2540.538073,1000,2188.256987
2563.210967,1000,2251.788964
2489.111264,1000,2332.327725
2568.391333,1000,2457.264858
2569.367476,1000,2587.125315
2569.504863,1000,2721.436466
2510.859673,1000,2891.90062
2560.136877,1000,2975.614667
2576.114622,1000,3086.643005
2551.765201,1000,3190.846584
2572.416094,1000,3302.567641
2518.569232,1000,3414.624141
2550.603614,1000,3506.427926
2554.48295,1000,3596.554732
2516.310709,1000,3676.634656
2587.457007,1000,3757.337385
2574.467277,1000,3826.880673
2594.48584,1000,3891.01035
2583.591549,1000,3935.858079
2649.757438,1000,3956.41032
2584.789013,1000,3981.541826
2621.167436,1000,4006.00204
2575.036395,1000,4030.637256
2554.573588,1000,4056.00162
2602.442441,1000,4085.850218
2556.138947,1000,4110.766611
2602.034208,1000,4135.908276
2580.314622,1000,4160.394325
2561.320962,1000,4186.032813
2723.436231,1000,4211.152125
2704.727399,1000,4234.698504
2529.562303,1000,4256.0562
2576.063917,1000,4277.811913
2558.771009,1000,4299.498733
2523.939106,1000,4320.812412
2577.560469,1000,4341.35534
2615.359097,1000,4362.703772
2615.528969,1000,4382.746208
2548.850889,1000,4402.790511
2499.480153,1000,4423.639
2592.923706,1000,4443.710869
3062.062853,1000,4463.886201
2719.607555,1000,4484.793236
3016.450727,1000,4505.306943
2939.005217,1000,4525.560069
2597.673049,1000,4545.572036
2622.317018,1000,4565.62165
2616.645033,1000,4585.798049
3119.24488,1000,4606.049537
2909.291284,1000,4626.421479
3114.656152,1000,4646.594807
3231.461494,1000,4666.771928
3101.00382,1000,4687.02867
3137.044317,1000,4707.354145
3160.999287,1000,4728.097465
3039.420059,1000,4748.014128
3012.281241,1000,4767.866222
3212.725559,1000,4788.321902
3219.802512,1000,4808.241098
2672.026901,1000,4828.288378
3225.460444,1000,4848.369247
3135.776927,1000,4869.299809
3123.007778,1000,4889.633067
3387.514967,1000,4910.049609
3194.838635,1000,4930.571648
2633.429143,1000,4951.336606
