#{"t_start": 1767874698.0103664, "env_id": "CustomHopper-source-v0"}
r,l,t
10.437344,17,0.462631
9.456257,16,0.739768
9.059955,17,1.266387
32.941086,27,1.839952
7.499212,20,2.206982
33.946644,36,3.061945
12.93929,24,3.527495
2.748711,13,3.798289
13.409492,24,4.220224
14.484954,16,4.528432
5.949036,9,4.699812
40.980978,41,5.469599
67.471601,37,6.158966
25.092702,29,6.727134
8.457372,18,7.077195
17.742679,23,7.501646
53.068361,31,8.060549
16.61372,17,8.345064
151.832304,97,10.044308
45.532919,27,10.566155
27.081644,54,11.71016
57.194687,34,12.372583
78.618267,46,13.183809
89.099936,109,15.197028
