#{"t_start": 1767949727.7909818, "env_id": "CustomHalfCheetah-source-v0"}
r,l,t
1100.776119,1000,15.94503
918.175358,1000,33.883451
1045.972437,1000,51.073193
1121.861011,1000,68.172619
1096.197825,1000,85.059362
1112.117431,1000,101.94837
1349.380336,1000,117.71637
1467.523461,1000,133.276593
1459.472855,1000,148.574911
1677.80876,1000,163.621414
1783.362883,1000,179.291055
1901.780708,1000,197.725382
1733.672078,1000,220.309757
1930.500853,1000,241.937351
2062.185897,1000,261.374803
1914.28234,1000,278.421838
1940.586451,1000,295.870961
1991.292289,1000,315.526501
2009.411243,1000,335.065027
1989.972205,1000,353.630232
2022.000249,1000,371.481608
2181.355164,1000,390.312886
2054.891981,1000,409.148393
2095.500482,1000,426.812629
2041.933211,1000,443.518553
1963.634236,1000,468.689404
2041.389659,1000,493.754839
2060.983024,1000,515.584959
2072.431343,1000,541.289104
2264.380206,1000,566.839348
2092.662309,1000,592.493477
2073.330288,1000,616.134682
2269.925964,1000,640.713086
2091.455735,1000,665.417983
2247.244866,1000,689.102316
2938.423659,1000,713.1157
2607.773898,1000,737.067883
3452.60122,1000,761.811867
3203.82205,1000,786.689218
3127.171981,1000,810.68689
2183.085368,1000,835.25589
3082.41878,1000,860.074379
2031.743636,1000,884.108643
3373.050951,1000,908.349402
3554.445603,1000,933.031301
3679.763821,1000,956.843101
3681.152676,1000,980.819346
4020.18046,1000,1004.020266
4093.776789,1000,1028.191595
3967.990369,1000,1053.116432
3869.399234,1000,1077.983799
4000.923306,1000,1104.217662
4204.319829,1000,1128.125218
4389.865016,1000,1153.682935
4404.498252,1000,1178.416718
4299.079551,1000,1204.693041
4369.187282,1000,1232.284087
4402.921827,1000,1261.699565
4364.948335,1000,1287.797929
4601.384655,1000,1308.638085
4418.301502,1000,1326.372046
4829.256348,1000,1352.015548
4679.987538,1000,1377.497766
4784.074402,1000,1403.377029
4613.871326,1000,1424.782125
4664.742463,1000,1439.887899
4426.839543,1000,1456.356431
4743.491671,1000,1474.311641
4590.162465,1000,1495.316912
4861.851547,1000,1518.231718
4853.815043,1000,1542.189924
4758.396439,1000,1559.725363
