#{"t_start": 1767874550.6280513, "env_id": "CustomHopper-source-v0"}
r,l,t
10.486134,17,5.034357
9.550249,16,5.390379
9.28475,17,5.703279
37.624646,29,6.237446
7.764194,18,6.636107
37.53901,42,7.485649
13.326708,20,7.849489
3.923896,16,8.114823
10.298897,21,8.456822
14.178418,19,8.793437
20.468409,38,9.442862
4.096361,10,9.612549
9.650554,12,9.880547
147.714954,79,11.100647
7.698903,15,11.317477
88.51175,54,12.110586
8.609189,26,12.494608
112.42285,66,13.548835
105.271536,56,14.37006
5.123433,33,14.855802
93.135498,69,15.845804
133.326361,189,18.772901
38.934641,55,19.609296
168.428481,86,20.880238
144.990084,74,22.072884
220.968562,107,23.668737
87.886092,50,24.484273
191.251259,91,25.840177
178.186012,83,27.181488
182.302176,84,28.459785
168.326531,81,29.657176
239.120781,109,31.27136
186.499599,87,32.62025
176.16596,86,33.888751
318.105551,128,35.857615
330.999487,127,37.823596
297.690818,119,39.620735
340.857863,134,41.694281
297.10517,120,43.670038
279.911716,117,45.434517
309.444279,126,47.315792
280.892058,118,49.121911
267.150177,113,50.820238
328.081448,136,52.798224
283.360873,124,54.626232
284.950234,126,56.440507
275.631586,121,58.191683
277.63653,123,60.019685
295.052272,124,61.825253
295.39714,128,63.776794
328.676844,133,65.880692
318.161627,142,68.010067
358.937586,131,70.567952
295.04525,132,73.314676
268.325308,121,75.577563
