#{"t_start": 1767377047.197074, "env_id": "CustomHopper-source-v0"}
r,l,t
27.589343,33,0.884561
24.394617,29,1.12196
16.19819,37,1.424964
16.275105,31,1.66043234.18886,126,2.119687
8.66.488303,40,2.3810813.19.356701,21,2.5553012.39152,35,2.751103
8994.036045,73,3.1012297.23.423454,21,3.24205.025095,131,3.59281
18.693693,17,3.745869
0.992862,29,3.989989
35.683096,63,4.438531251.0163.748872,91,4.98136.21201.755139,90,5.62110.820072,57,5.854766
244.174892,227,7.576834
126.944056,64,8.121299
79.566725,44,8.47104
70.987927,41,8.803089
188.368852,88,9.544432
197.456449,84,10.157706
200.268647,89,10.758782
204.249611,88,11.381634
182.124835,84,11.978669
169.36436,84,12.561922
177.839727,87,13.184302
189.126461,91,13.87416
180.72885,88,14.539976
181.981737,89,15.170491
171.20848,85,15.764224
173.259768,87,16.357946
177.26857,85,16.941146
223.359927,101,17.623558
252.428094,110,18.350939
233.66951,104,19.029743
183.926399,89,19.621116
210.051565,97,20.266385
254.872415,109,20.998974
250.977611,107,21.733728
201.172988,93,22.340917
231.651126,103,23.044814
225.844142,101,23.755184
284.674905,119,24.579751
281.779185,120,25.413556
343.43789,132,26.321482
351.473644,137,27.304611
312.041558,125,28.16479
285.967402,120,28.952942
325.967197,128,29.792055
322.578783,126,30.65633
324.791858,127,31.516168
315.12248,126,32.382504
325.323596,127,33.213736
320.038377,130,34.161715
325.108681,128,35.129816
360.730034,141,36.068162
289.942925,125,36.965944
316.190671,114,37.711888
304.018982,109,38.421096
314.121226,119,39.180337
274.238875,124,39.940343
269.353205,115,40.646644
290.516951,118,41.383823
273.614856,118,42.105021
312.902732,130,42.913322
323.053918,130,43.70653
279.93088,113,44.395544
293.521196,119,45.131376
282.805458,121,45.875225
327.458269,130,46.748544
329.968036,129,47.765615
369.621839,141,48.789322
367.649041,135,49.900346
284.630854,120,50.896739
333.557664,125,51.787365
361.744467,131,52.733433
458.81499,156,53.821967
192.015509,85,54.392168
160.148033,79,54.937764
203.520583,89,55.608899
274.242983,107,56.344436
276.35205,108,57.145317
150.964882,75,57.616052
461.087915,153,58.570465
328.348782,122,59.372999
327.752597,123,60.201339
322.818686,122,61.045408
240.794299,100,61.682954
335.288547,127,62.5221
378.934813,138,63.424292
492.589189,159,64.441113
503.892738,167,65.697541
448.642679,151,67.040651
342.540637,128,68.072239
395.044098,135,69.165384
457.401976,148,70.15797
439.350273,145,71.414004
384.668826,133,72.321413
439.506843,143,73.56138
455.051036,151,74.699221
462.707881,153,75.991153
356.761641,130,76.911198
390.521171,138,77.950865
335.557526,122,78.895896
320.263932,119,79.741573
317.988891,118,80.494164
297.423079,113,81.270589
182.233192,82,81.796098
326.26784,119,82.671303
11.869995,16,82.785751
493.50726,156,84.010907
492.879887,153,85.293203
342.580007,125,86.199567
555.88586,171,87.966108
537.49253,162,89.027124
583.287266,179,90.145382
572.216273,169,91.223233
670.836449,231,92.686601
408.686627,140,93.584409
570.900166,201,95.121958
552.96463,166,96.190381
415.637481,140,97.069605
583.412779,173,98.166028
491.302805,152,99.131765
409.504696,136,99.987506
617.214161,178,101.112303
563.30849,176,102.215432
627.324369,195,103.436778
511.443118,157,104.427206
629.091709,198,105.666275
568.61994,171,106.792997
639.69343,202,108.213342
629.81334,195,109.684665
614.295373,195,111.691272
664.395049,207,113.136783
599.379289,171,114.322666
629.037096,200,115.727642
640.827306,194,117.023888
610.257482,185,118.347942
618.505788,195,119.7342
690.671491,212,121.219921
607.558283,186,122.543849
697.689764,210,124.637512
441.312016,144,125.95736
706.489313,206,128.128055
679.052356,212,129.78319
633.001326,198,131.382845
642.116431,198,133.567147
562.081643,177,134.92409
681.811527,210,136.66486
677.585189,209,138.422278
