#{"t_start": 1769448946.986451, "env_id": "CustomHopper-source-v0"}
r,l,t
23.660412,32,0.184782
9.267379,14,0.353249
53.190916,33,0.794429
58.546071,37,1.335384
151.017027,77,2.380187
104.155384,78,3.442439
116.004515,73,4.377132
9.379907,25,4.674919
74.9845,50,5.267719
133.231451,73,6.138183
91.235581,54,6.782064
212.765972,100,7.968485
223.635113,111,9.272182
194.015917,88,10.303782
212.422991,96,11.445305
223.131773,101,12.627264
152.532045,74,13.499203
193.167651,100,14.665394
210.500082,93,15.754865
203.843802,88,16.794305
151.936782,72,17.642929
155.716952,76,18.540888
192.45544,82,19.498951
187.217246,76,20.393334
199.534381,89,21.433656
138.626542,68,22.274936
161.922521,72,23.133465
197.833349,87,24.156811
159.642118,75,25.036619
175.065555,86,26.043551
209.404922,89,27.083845
173.515802,76,27.986195
171.093514,77,28.895379
149.459339,70,29.714302
202.003213,92,30.807576
198.417488,81,31.754916
209.884688,93,32.853021
208.917099,88,33.886182
202.662202,87,34.905194
187.161015,87,35.922855
177.326554,80,36.861381
169.612801,83,37.851676
135.31187,59,38.576882
214.73336,94,39.688956
204.468899,85,40.684575
220.697751,99,41.852337
208.243123,90,42.918161
163.604931,78,43.834869
177.103079,87,44.853468
182.584595,86,45.864974
225.091158,102,47.056921
207.640224,92,48.148213
184.983543,92,49.229237
196.021813,84,50.214695
212.103256,95,51.366835
219.625101,92,52.454432
221.821882,101,53.655542
172.060164,85,54.649158
177.318036,87,55.668638
203.892788,89,56.711446
206.878677,95,57.827237
221.93779,99,59.001467
200.051478,85,60.007736
136.038132,65,60.767426
198.754253,86,61.772465
135.668851,65,62.539128
209.656556,90,63.608116
215.732408,97,64.748024
208.858889,93,65.886282
189.851766,86,66.895538
213.885612,102,68.096132
227.359729,109,69.374816
210.851212,97,70.517005
227.294357,103,71.722911
239.453643,117,73.102682
248.678874,123,74.557911
224.818604,106,75.801151
222.709589,108,77.119653
239.989714,115,78.475806
251.068734,115,79.838902
234.660551,120,81.24515
287.09433,133,82.799057
281.342847,139,84.442163
269.054662,145,86.143114
296.260713,172,88.162114
264.245104,134,89.737633
307.404074,184,91.949395
353.475285,180,94.068049
244.392525,127,95.550491
314.639872,161,97.429393
456.642661,304,101.000079
279.276371,135,102.584228
350.772366,168,104.560598
357.297027,173,106.584164
343.305105,170,108.635348
409.036633,224,111.2593
296.030402,136,112.856572
326.749388,154,114.673003
574.761848,500,120.543205
411.371861,206,122.95367
337.873985,153,124.754653
350.981084,169,126.787967
341.311969,158,128.652944
334.273827,143,130.328556
344.284414,158,132.181905
347.844093,152,133.984687
319.794908,141,135.633444
325.147105,134,137.257773
298.571391,123,138.706581
330.964124,134,140.278133
322.145941,129,141.78859
314.137388,128,143.289563
308.613738,126,144.77868
270.624287,104,145.992705
294.815631,115,147.340587
294.903654,111,148.655775
302.569846,127,150.155215
312.277628,133,151.756823
276.315342,111,153.057862
302.46516,125,154.535581
299.201278,123,155.980034
283.404065,113,157.305226
300.543916,121,158.739164
291.815795,125,160.20878
285.28938,124,161.664924
278.360567,119,163.097561
287.823081,123,164.561249
302.759687,128,166.063881
303.968275,128,167.568641
304.390365,134,169.152932
306.350482,129,170.668137
284.101873,124,172.121402
311.536564,128,173.617343
299.372045,126,175.149646
305.898107,128,176.655682
298.678801,127,178.141501
305.568014,127,179.64056
291.647322,123,181.091584
317.358826,136,182.683118
304.018305,124,184.149382
326.766672,135,185.742215
321.412887,139,187.414207
336.450745,146,189.138229
320.463831,134,190.702512
321.913045,131,192.239622
303.002779,127,193.730839
383.026196,150,195.513146
343.955606,135,197.093948
307.003045,124,198.587476
359.616294,147,200.324804
346.273863,147,202.049573
354.89738,154,203.861243
339.431076,143,205.546802
339.306028,144,207.235119
346.520617,144,208.927542
357.016493,167,210.904785
336.100245,146,212.666233
341.026214,146,214.391766
364.884236,174,216.426429
349.491307,155,218.239561
342.29716,145,219.951262
348.937061,151,221.730677
375.828737,174,223.764544
335.194474,142,225.441714
353.009551,154,227.290922
376.98682,177,229.389204
344.373281,140,231.029076
356.559505,155,232.84465
368.732911,160,234.735909
286.574983,123,236.186623
364.735319,168,238.195634
481.086533,235,240.977016
174.22822,108,242.240523
379.742354,166,244.175576
326.37512,155,245.992815
403.489245,187,248.21677
362.798942,167,250.188701
376.098564,169,252.164776
316.454166,144,253.853981
484.480125,213,256.352843
470.18024,210,258.809035
447.170077,203,261.197716
383.559547,160,263.111774
443.016407,235,265.87472
373.076177,155,267.691187
310.499712,136,269.285886
417.484286,209,271.758554
363.633176,148,273.485702
357.027888,147,275.220607
270.769256,141,276.879457
428.383197,226,279.572462
541.300414,319,283.358981
432.342415,211,285.854201
256.722443,113,287.222125
816.840977,500,293.174976
805.33985,500,299.034786
342.230705,164,300.970998
675.851741,405,305.780618
298.098874,132,307.327941
328.406936,155,309.13821
355.529964,168,311.118061
