#{"t_start": 1769539876.598167, "env_id": "CustomHopper-source-v0"}
r,l,t
10.439656,17,0.055289
9.935787,17,0.220603
7.636684,25,0.551191
13.142812,25,0.870441
9.333586,15,1.054037
25.607888,24,1.348548
23.557709,38,1.856682
11.055699,19,2.143811
11.22877,18,2.361974
35.671367,52,2.989109
127.188798,64,3.752565
11.291951,19,3.980447
197.249128,103,5.209072
226.617163,111,6.540377
125.966196,62,7.371581
194.324019,97,8.625148
180.839914,87,9.801476
208.981406,97,11.009426
173.407941,85,12.020141
192.188251,95,13.192578
195.228064,97,14.451465
183.002648,89,15.54942
179.87865,88,16.594006
167.606481,80,17.594454
201.175384,97,18.776388
214.130752,104,20.000178
217.013283,108,21.278367
210.523839,89,22.372123
219.252644,100,23.572075
227.325056,98,24.722173
237.864711,101,25.919858
224.333603,97,27.070418
208.049714,98,28.263242
245.936517,114,29.608741
243.397646,106,30.907242
225.128206,96,32.034713
226.448114,101,33.239538
222.678916,95,34.357491
237.469661,108,35.628853
220.139691,105,36.863409
236.579757,99,38.047758
253.089643,104,39.386453
241.465275,101,40.818499
163.343727,79,41.752689
193.409207,89,42.801205
234.146961,97,43.967156
212.794124,102,45.181966
223.251037,103,46.391284
236.709389,115,47.746116
227.839688,97,48.924451
220.088378,105,50.206004
219.08483,102,51.503142
235.520921,103,52.713598
230.977892,104,53.963282
248.149518,110,55.25763
254.461141,118,56.691953
268.700156,114,58.03285
267.280976,116,59.418501
305.057153,128,60.917041
291.826378,115,62.269052
257.214132,106,63.535517
266.951538,115,64.953039
293.6995,116,66.317048
293.242415,121,67.735544
515.149866,173,69.798017
342.092777,131,71.33185
365.630317,144,73.020315
368.528455,147,74.772807
446.954821,161,76.668507
345.325887,137,78.393027
373.349209,140,80.043404
355.904958,133,81.60929
317.872282,123,83.062488
352.465847,135,84.670153
384.634988,135,86.260822
426.489974,145,87.970496
389.703491,135,89.580521
390.210915,134,91.205091
96.80854,54,91.837067
382.776118,132,93.403408
414.331215,146,95.128345
390.86651,141,96.783457
393.200087,133,98.350759
475.933843,153,100.176604
399.964898,151,101.950493
312.065721,129,103.5605
557.620055,175,105.636566
351.212254,133,107.205692
518.764049,167,109.197161
454.344234,153,110.99065
510.262055,166,112.934439
554.568569,186,115.142083
492.593739,169,117.190448
583.635778,202,119.578868
546.232151,164,121.510314
691.102407,229,124.224013
490.684532,153,126.015678
522.286932,174,128.064406
655.382307,217,130.640737
700.628472,225,133.332229
632.94216,203,135.77863
879.834008,266,138.951778
960.990593,279,142.226415
865.525169,264,145.346326
647.960129,197,147.667601
619.932139,197,150.103106
806.689198,250,153.049152
737.950622,235,155.82893
679.845016,210,158.288947
1073.114594,313,162.001577
775.783877,241,164.903147
1442.02901,458,170.302527
1000.841658,294,173.742893
1370.378093,500,179.64089
788.211557,253,182.597076
1239.255819,374,187.023227
927.476921,290,190.493823
602.077738,186,192.677084
693.871095,210,195.169434
651.480092,199,197.50645
853.05942,250,200.473242
687.821023,211,202.947561
712.06167,214,205.497094
728.595013,220,208.143452
722.792206,219,210.739679
790.484123,237,213.526908
811.200175,237,217.044199
994.550164,311,220.850282
1229.602779,379,225.441034
1589.344163,500,231.518388
