#{"t_start": 1769532944.2972438, "env_id": "CustomHopper-source-v0"}
r,l,t
24.430082,34,0.163013
22.221725,26,0.483209
16.58292,23,0.767392
23.642887,30,1.128319
52.973931,55,1.88537
39.265943,42,2.428893
39.706969,44,2.990243
38.461279,43,3.545049
110.363388,72,4.465805
159.743529,97,5.693968
124.220433,94,6.873864
43.229587,75,7.833584
41.125292,43,8.383222
40.494743,43,9.006248
81.413113,54,9.681163
43.22738,44,10.230295
91.864391,61,11.005505
40.501108,43,11.640443
43.586077,42,12.198169
101.133452,59,12.968034
42.984013,42,13.566841
42.447222,44,14.117772
40.883638,43,14.627252
41.077774,43,15.124098
56.426057,27,15.447325
41.986692,42,15.983692
124.368927,72,16.979274
41.668239,43,17.477857
42.552695,43,17.97328
103.60613,50,18.53793
128.824059,75,19.419159
42.56279,44,19.979471
189.537781,98,21.291182
44.55684,44,21.886211
46.988018,46,22.669716
227.566417,106,24.020494
133.109891,74,24.919714
48.565107,47,25.555141
42.931842,43,26.071203
41.61795,43,26.592762
42.863784,43,27.114036
44.681907,44,27.645652
42.644592,43,28.164513
42.743511,43,28.680858
189.11603,103,30.069541
40.009123,42,30.6158
197.026321,84,31.747919
58.182607,52,32.470004
42.025656,42,33.020652
42.912957,44,33.592122
43.376856,43,34.174107
200.876009,103,35.431469
46.095007,44,35.97398
199.226205,114,37.428223
42.392607,42,37.936834
44.328348,44,38.463223
208.441724,120,39.90013
91.590309,62,40.641451
190.050949,100,41.899277
158.515385,69,42.73169
42.715311,43,43.247644
55.08168,49,43.829131
176.445087,96,44.979364
210.073485,119,46.408231
44.99767,44,46.962416
43.18521,43,47.474679
41.460291,42,47.980204
188.982843,103,49.218178
38.391399,43,49.728962
36.777903,43,50.247153
176.063192,86,51.270668
41.264021,42,51.785293
39.442305,44,52.317308
164.834795,74,53.210069
47.402526,47,53.776582
42.941389,42,54.282528
40.809479,43,54.79876
40.106186,42,55.311958
39.013237,43,55.828445
40.819737,42,56.332844
41.529346,43,56.857316
48.989513,50,57.464825
199.109894,181,59.643166
40.788217,42,60.147054
42.529098,43,60.662963
144.155199,88,61.715773
40.590494,42,62.28434
43.418744,42,62.788359
41.448136,42,63.302652
315.572621,159,65.211183
188.956271,105,66.468703
286.249788,140,68.159825
41.640194,42,68.66561
181.509575,108,69.960403
43.161142,44,70.490808
40.227437,42,71.003052
40.330883,42,71.499081
41.931426,42,72.015546
171.559951,72,72.879987
39.85911,42,73.383266
177.495344,84,74.389183
60.495205,50,74.992098
41.760738,43,75.502814
42.187834,42,76.009995
60.469448,54,76.658194
44.282922,43,77.176636
172.019198,69,78.018594
47.751367,44,78.601726
43.049882,43,79.118393
333.32932,163,81.064676
43.582006,42,81.563619
41.764227,42,82.068884
71.657214,60,82.807866
40.434267,42,83.316295
214.836073,112,84.670457
45.381274,46,85.216535
60.619701,53,85.952435
352.11187,237,88.805482
305.728871,156,90.718901
51.004165,44,91.246842
240.975813,133,92.854778
380.041278,216,95.542859
8.755345,20,95.83417
59.51664,53,96.468383
40.277824,43,96.987054
126.504493,71,97.851784
140.222481,83,98.838974
42.746604,42,99.339689
45.645231,45,99.87906
39.66702,44,100.407903
133.912885,77,101.404446
55.355211,49,102.04099
224.721036,132,103.57537
172.537443,73,104.421166
187.173263,103,105.619339
225.97256,133,107.118895
181.784175,92,108.148184
57.07081,53,108.7496
45.452611,43,109.2331
275.782895,166,111.103153
41.822484,42,111.576845
41.508503,42,112.051665
214.114597,122,113.430712
36.034845,43,113.911041
39.530145,43,114.398612
220.192726,118,115.734404
39.588684,42,116.212075
230.285684,125,117.61618
279.080813,164,119.531596
298.987254,172,121.518551
41.060598,43,122.007483
223.16217,134,123.518226
41.103786,43,124.000457
38.688523,42,124.475223
368.829451,248,127.290224
43.791554,43,127.776237
119.424603,77,128.642794
173.72637,77,129.516697
215.061288,112,130.780592
42.108517,42,131.256642
37.565158,42,131.731881
46.146418,48,132.27461
226.872741,123,133.670378
