#{"t_start": 1767913475.514857, "env_id": "CustomHalfCheetah-v0"}
r,l,t
945.616136,1000,42.406396
1082.910013,1000,74.037406
990.559546,1000,113.856837
1127.662884,1000,153.536686
1114.980034,1000,201.370905
1180.769781,1000,248.323916
1289.291619,1000,295.60036
1254.159471,1000,342.989543
1428.45051,1000,390.065016
1552.313454,1000,437.546601
1630.697791,1000,484.610541
1685.603645,1000,531.366993
1705.824347,1000,578.578729
1806.263078,1000,625.70231
1841.675978,1000,672.70731
1937.262982,1000,723.629044
1948.487829,1000,778.38613
2144.253708,1000,832.871092
2245.545026,1000,887.751414
2181.67024,1000,941.708057
2277.627074,1000,995.406144
2272.946473,1000,1049.534452
2267.091428,1000,1103.594311
2302.441435,1000,1157.638029
2399.510792,1000,1211.815984
2331.68197,1000,1266.007371
2377.752816,1000,1320.007597
2410.635658,1000,1374.247785
2422.443026,1000,1428.724906
2399.523179,1000,1482.918348
2474.44411,1000,1537.175036
2505.638344,1000,1592.059589
2503.055895,1000,1646.438062
2500.862219,1000,1700.437521
2529.704857,1000,1754.504815
2499.529993,1000,1808.901352
2440.704564,1000,1863.366905
2495.436888,1000,1917.570033
2487.135551,1000,1971.70598
2505.716543,1000,2026.100389
2515.682539,1000,2080.233588
2493.121523,1000,2133.823651
2517.585332,1000,2187.665564
2519.030636,1000,2251.199679
2571.61243,1000,2331.73645
2578.306203,1000,2456.673482
2561.760826,1000,2586.535983
2581.555798,1000,2720.847231
2571.054949,1000,2891.318199
2522.726664,1000,2975.023145
2508.817149,1000,3086.053628
2576.807239,1000,3190.255059
2547.483146,1000,3301.979639
2516.604723,1000,3414.034181
2563.90842,1000,3505.836859
2526.867057,1000,3595.963927
2564.712556,1000,3676.043036
2512.536512,1000,3756.745969
2559.520582,1000,3826.289532
2665.042483,1000,3890.418794
2511.056836,1000,3935.266235
2583.853085,1000,3955.820602
2574.90029,1000,3980.950119
2595.416752,1000,4005.410294
2585.58255,1000,4030.045634
2550.021364,1000,4055.409869
2557.528049,1000,4085.26103
2593.089193,1000,4110.174773
2536.569166,1000,4135.316636
2572.568438,1000,4159.802765
2526.305796,1000,4185.441125
2563.758239,1000,4210.560617
2704.138039,1000,4234.106317
2579.876775,1000,4255.464304
2627.958167,1000,4277.220138
2598.430529,1000,4298.90696
2610.126551,1000,4320.220715
2636.496975,1000,4340.764018
2550.540907,1000,4362.11198
2524.082415,1000,4382.154377
2570.151934,1000,4402.198722
2609.035748,1000,4423.04731
2968.306968,1000,4443.119449
2878.776241,1000,4463.294382
2966.676402,1000,4484.201437
2773.345798,1000,4504.715279
3187.794193,1000,4524.968389
3120.7306,1000,4544.980273
2555.442319,1000,4565.029655
3023.414609,1000,4585.206439
3094.023347,1000,4605.457664
3223.587098,1000,4625.829732
2705.842201,1000,4646.002805
2858.197309,1000,4666.181399
3053.35695,1000,4686.437007
2896.414005,1000,4706.762592
3196.716546,1000,4727.505686
2903.79116,1000,4747.422397
2948.469482,1000,4767.274484
3155.06128,1000,4787.73012
3059.727148,1000,4807.649542
3090.995466,1000,4827.696591
3197.154669,1000,4847.777513
3176.964448,1000,4868.708126
3190.253178,1000,4889.041335
2696.00045,1000,4909.457896
3275.504293,1000,4929.979845
3183.088085,1000,4950.744928
3188.236794,1000,4971.361486
3210.683601,1000,4991.848069
3171.755276,1000,5012.562645
3243.467205,1000,5033.965932
3358.167004,1000,5054.319006
3204.186414,1000,5074.894495
3264.936066,1000,5096.193307
3573.612898,1000,5116.217598
3255.476232,1000,5136.603894
3678.94881,1000,5156.787499
3615.592499,1000,5176.991469
2972.316788,1000,5196.764636
3302.944712,1000,5214.834385
3748.757589,1000,5232.137143
3632.440875,1000,5249.108812
2785.500054,1000,5266.19227
3907.237954,1000,5283.505231
3662.360232,1000,5300.710324
3735.74643,1000,5318.12624
3890.973097,1000,5335.881094
3847.092686,1000,5353.286241
3760.347183,1000,5370.319879
3710.382261,1000,5387.775303
3971.457212,1000,5405.711237
3811.700422,1000,5421.68613
3991.254247,1000,5436.881593
3878.687386,1000,5452.41563
3887.253412,1000,5467.786101
4192.98421,1000,5483.177757
3980.078789,1000,5498.536877
3848.844761,1000,5513.860166
3930.149802,1000,5529.12579
4166.194831,1000,5544.501765
4257.603314,1000,5559.914701
4141.74611,1000,5575.827705
4391.591679,1000,5590.983847
4339.05712,1000,5606.320917
4103.866308,1000,5622.235993
4150.234808,1000,5639.67127
4276.833447,1000,5667.586689
4198.457434,1000,5694.256414
4118.123173,1000,5721.880604
4262.133315,1000,5749.951625
4258.236035,1000,5778.320137
4395.301248,1000,5806.239307
4316.723416,1000,5833.619614
4291.357958,1000,5861.968031
4272.045739,1000,5889.893307
4230.436804,1000,5917.315614
4333.491986,1000,5944.94819
4215.833761,1000,5974.255635
4399.688377,1000,6002.24897
4302.375177,1000,6030.873942
4532.748954,1000,6061.042416
4385.777504,1000,6091.198612
4562.526497,1000,6121.209687
4454.626747,1000,6150.142586
4373.945873,1000,6178.784616
4774.189683,1000,6207.994108
4499.152278,1000,6238.328175
4610.563627,1000,6267.974998
4681.225748,1000,6296.938619
4375.686851,1000,6326.777681
4480.076,1000,6356.430761
4668.269338,1000,6385.794199
4518.464064,1000,6415.033064
4585.445511,1000,6444.546197
4805.625881,1000,6473.881387
4696.371769,1000,6503.376872
4645.383064,1000,6531.361332
4642.167107,1000,6559.51939
4794.591423,1000,6588.561343
4695.116123,1000,6617.708553
4667.371964,1000,6647.201819
4866.816523,1000,6675.399452
4717.400756,1000,6704.455329
4873.596929,1000,6733.922341
4868.755728,1000,6763.733969
4840.580554,1000,6793.312984
4927.3604,1000,6822.535137
4972.823021,1000,6851.275192
5038.596093,1000,6880.698252
4931.305177,1000,6909.528765
5076.0265,1000,6937.232416
5014.889334,1000,6965.144974
5139.281043,1000,6994.08768
5057.997991,1000,7023.199234
5078.219715,1000,7052.778872
5117.380219,1000,7083.302947
5109.542813,1000,7112.364696
5218.633689,1000,7141.926893
5208.919524,1000,7170.467608
5109.871607,1000,7200.013474
5305.208464,1000,7230.617094
5266.063307,1000,7260.053874
5319.436492,1000,7290.775961
5340.339965,1000,7321.015876
5294.838795,1000,7350.727662
5200.858918,1000,7380.334606
5366.224064,1000,7410.358924
5132.116372,1000,7439.471956
