#{"t_start": 1767949727.7909818, "env_id": "CustomHalfCheetah-source-v0"}
r,l,t
1100.776119,1000,15.94503
918.175358,1000,33.883451
1045.972437,1000,51.073193
1121.861011,1000,68.172619
1096.197825,1000,85.059362
1112.117431,1000,101.94837
1349.380336,1000,117.71637
1467.523461,1000,133.276593
1459.472855,1000,148.574911
1677.80876,1000,163.621414
1783.362883,1000,179.291055
1901.780708,1000,197.725382
1733.672078,1000,220.309757
1930.500853,1000,241.937351
2062.185897,1000,261.374803
1914.28234,1000,278.421838
1940.586451,1000,295.870961
1991.292289,1000,315.526501
2009.411243,1000,335.065027
1989.972205,1000,353.630232
2022.000249,1000,371.481608
2181.355164,1000,390.312886
2054.891981,1000,409.148393
2095.500482,1000,426.812629
2041.933211,1000,443.518553
1963.634236,1000,468.689404
2041.389659,1000,493.754839
2060.983024,1000,515.584959
2072.431343,1000,541.289104
2264.380206,1000,566.839348
2092.662309,1000,592.493477
2073.330288,1000,616.134682
2269.925964,1000,640.713086
2091.455735,1000,665.417983
2247.244866,1000,689.102316
2938.423659,1000,713.1157
2607.773898,1000,737.067883
3452.60122,1000,761.811867
3203.82205,1000,786.689218
3127.171981,1000,810.68689
2183.085368,1000,835.25589
3082.41878,1000,860.074379
2031.743636,1000,884.108643
3373.050951,1000,908.349402
3554.445603,1000,933.031301
3679.763821,1000,956.843101
3681.152676,1000,980.819346
4020.18046,1000,1004.020266
4093.776789,1000,1028.191595
3967.990369,1000,1053.116432
3869.399234,1000,1077.983799
4000.923306,1000,1104.217662
4204.319829,1000,1128.125218
4389.865016,1000,1153.682935
4404.498252,1000,1178.416718
4299.079551,1000,1204.693041
4369.187282,1000,1232.284087
4402.921827,1000,1261.699565
4364.948335,1000,1287.797929
4601.384655,1000,1308.638085
4418.301502,1000,1326.372046
4829.256348,1000,1352.015548
4679.987538,1000,1377.497766
4784.074402,1000,1403.377029
4613.871326,1000,1424.782125
4664.742463,1000,1439.887899
4426.839543,1000,1456.356431
4743.491671,1000,1474.311641
4590.162465,1000,1495.316912
4861.851547,1000,1518.231718
4853.815043,1000,1542.189924
4758.396439,1000,1559.725363
4801.523805,1000,1578.056485
4883.031984,1000,1598.468717
4763.66824,1000,1616.105415
4700.711628,1000,1635.517264
5017.487933,1000,1654.146882
4784.014191,1000,1670.977214
4894.483284,1000,1692.089994
5023.078718,1000,1713.059152
4805.853301,1000,1733.179284
5102.439983,1000,1750.209742
4973.700819,1000,1769.768593
4871.231918,1000,1794.294852
4876.381607,1000,1820.592571
4926.161003,1000,1846.90937
4798.572265,1000,1890.241277
5203.829222,1000,1936.693119
5119.861465,1000,1985.146102
5016.498728,1000,2030.542405
5217.597608,1000,2075.400754
5146.429182,1000,2120.610379
5300.578225,1000,2166.358199
4945.800258,1000,2578.029564
4956.19741,1000,2624.443446
5018.713226,1000,2670.670837
5263.877803,1000,2716.76548
5106.590273,1000,2762.883084
5255.36993,1000,2809.00347
5271.714127,1000,2855.612981
5235.597206,1000,2901.445928
5158.606114,1000,2948.456001
5452.639509,1000,2994.421689
5089.432688,1000,3040.038411
5382.108853,1000,3085.867913
5154.540204,1000,3132.333595
5357.520662,1000,3181.825318
5153.879006,1000,3229.157551
5186.070877,1000,3279.485035
5443.421296,1000,3327.306518
5449.47946,1000,3380.425962
5232.342546,1000,3432.816289
5417.608606,1000,3487.454623
5448.896033,1000,3548.426857
5372.888593,1000,3602.967345
5331.582485,1000,3651.405245
5748.871681,1000,3698.41366
5312.784649,1000,3748.553117
5289.719081,1000,3793.765373
5557.542161,1000,3841.370492
5689.864699,1000,3889.542929
5510.318613,1000,3937.800298
5492.905691,1000,3986.424294
5693.849318,1000,4034.458167
5574.101178,1000,4082.587342
5478.937178,1000,4130.525805
5703.28297,1000,4179.066733
5674.151156,1000,4225.812258
5511.095753,1000,4271.738469
5566.725294,1000,4294.749444
5799.303896,1000,4310.932376
5618.267762,1000,4325.767626
5781.57879,1000,4349.902677
5781.207011,1000,4367.046484
5892.245142,1000,4384.6338
5626.207824,1000,4399.664551
5799.194245,1000,4414.652321
5639.93685,1000,4429.518528
5768.733417,1000,4446.340764
5812.982184,1000,4467.442617
5755.868851,1000,4507.706958
5687.978382,1000,4553.863108
5879.330293,1000,4599.851907
5853.485458,1000,4646.357578
5833.698258,1000,4692.317476
5746.943177,1000,4738.126419
6079.257518,1000,4783.993592
5977.039338,1000,4829.741292
5821.071383,1000,4876.265224
5960.472766,1000,4922.065292
5864.968975,1000,4967.777956
5948.799322,1000,5013.739477
6131.619913,1000,5059.702958
6090.639312,1000,5105.465356
5809.622049,1000,5151.616894
6120.336943,1000,5197.738491
6304.890721,1000,5243.795258
6274.69195,1000,5289.834371
6220.378478,1000,5335.680086
6241.207712,1000,5381.894409
6422.029174,1000,5427.824902
6248.972493,1000,5474.082898
6021.920857,1000,5519.563079
6308.465375,1000,5565.580074
6396.861982,1000,5611.627433
6233.792284,1000,5657.500277
6231.849462,1000,5704.194838
6308.074181,1000,5731.771933
6323.929512,1000,5747.312604
6400.438665,1000,5761.511213
6286.707519,1000,5775.890532
6491.631885,1000,5790.790464
6524.561024,1000,5805.595579
6518.279973,1000,5820.572403
6218.750241,1000,5835.429985
6391.328657,1000,5850.322568
6794.864509,1000,5865.166888
6627.035879,1000,5879.99286
6519.134763,1000,5895.053707
6598.172611,1000,5909.82492
6719.931444,1000,5926.289376
6569.346822,1000,5957.551404
6807.645823,1000,6002.845554
6665.820086,1000,6047.862841
6893.367186,1000,6092.753104
7028.582561,1000,6138.180963
6975.105856,1000,6183.826329
6672.454624,1000,6229.240049
6545.812853,1000,6274.612189
6865.128878,1000,6320.087652
6949.458349,1000,6366.611116
6967.73982,1000,6414.458205
7034.439283,1000,6462.408765
6801.377697,1000,6510.067537
7110.639959,1000,6558.088808
6984.635403,1000,6606.077563
