#{"t_start": 1767631407.558079, "env_id": "CustomHopper-source-v0"}
r,l,t
10.436171,17,0.737609
9.459717,16,0.857368
9.102416,17,0.976605
35.414163,28,1.169662
7.182418,19,1.304242
38.78946,44,1.607472
11.863266,17,1.748375
3.311074,15,1.856189
14.375224,22,2.015211
14.917084,20,2.155889
22.094538,38,2.454739
3.519949,9,2.528446
9.987306,12,2.689538
67.475263,40,3.025791
6.976948,12,3.108334
8.369085,19,3.234817
17.17058,23,3.39959
139.911454,67,3.94531
95.161249,51,4.290161
5.216072,10,4.362296
107.738475,69,4.839457
9.522945,40,5.108932
84.382021,47,5.428635
10.613289,16,5.53737
189.345912,117,6.388748
122.275024,63,6.855915
226.324532,166,8.059072
101.257485,59,8.481665
124.58133,66,8.949183
317.55472,146,9.940626
411.722035,190,11.220852
319.342366,134,12.13094
295.599349,114,12.917408
302.549016,131,13.806444
284.437651,114,14.572721
302.509673,117,15.371725
338.166352,128,16.231405
327.979254,129,17.119213
296.800937,120,17.910618
302.480413,111,18.647018
356.305635,124,19.474886
320.016587,115,20.233517
337.355647,128,21.0902
362.366668,128,21.931404
373.105054,137,22.830725
356.86508,129,23.693154
368.328133,136,24.590556
365.781707,136,25.498201
366.780129,133,26.372375
366.372438,136,27.275596
364.079771,129,28.133771
381.214652,134,29.024199
375.275957,136,29.945647
378.746984,131,30.812517
377.922235,130,31.680074
360.269713,126,32.513779
394.466675,143,33.458152
365.647561,126,34.304407
360.185548,126,35.134446
379.803031,134,36.031472
365.980216,126,36.864414
366.717196,139,37.789182
357.371562,126,38.632221
365.913847,127,39.471547
369.278005,127,40.317368
368.881509,127,41.15313
334.428229,139,42.081465
380.341259,130,42.939155
380.072074,129,44.019905
386.977511,141,45.051492
355.677454,124,45.935089
314.821447,113,46.695737
385.457786,131,47.566663
436.622764,150,48.569927
383.004502,130,49.454604
535.14087,191,50.848763
374.848703,147,51.818792
452.034547,147,52.802013
399.119477,135,53.694823
366.637031,123,54.520992
395.812674,133,55.5099
399.315973,138,56.430669
378.338783,128,57.284164
389.812844,137,58.18777
418.503186,141,59.12656
390.072869,135,60.071066
396.381888,136,61.04108
393.713346,134,61.93875
383.958597,133,62.896852
393.925253,136,63.815083
397.724962,138,64.733799
397.479838,137,65.663205
372.835637,130,66.632051
392.270539,137,67.585392
398.505598,137,68.500431
426.235993,143,69.466525
384.758707,131,70.349549
400.271761,137,71.26058
365.603658,127,72.128015
400.320937,134,73.014086
344.617457,127,73.858714
407.394736,137,74.7881
245.234682,102,75.465472
391.691029,135,76.396084
391.365302,132,77.276323
433.47899,142,78.225028
342.910871,123,79.039936
467.26161,155,80.08907
396.453616,133,81.015203
435.479298,144,82.083258
495.440629,162,83.170499
384.920157,130,84.183635
22.333808,22,84.337486
391.39949,133,85.232491
442.931088,143,86.22927
440.376167,142,87.276587
382.921656,126,88.118406
346.475713,118,88.912991
418.14769,136,89.846135
394.60712,130,90.732193
341.815281,117,91.610126
378.931646,127,92.53373
358.124099,123,93.37694
373.563757,127,94.218608
374.402592,127,95.071543
402.21986,131,95.941084
380.643798,128,96.790072
475.818316,149,97.789812
364.740496,125,98.615874
402.923674,133,99.511344
493.807366,155,100.613619
505.468458,153,101.730089
484.469317,152,102.736796
399.829536,134,103.640003
367.224761,124,104.47805
360.903536,123,105.304455
362.655242,123,106.126504
414.627771,134,107.013225
432.322429,138,107.93731
372.504693,128,108.784516
360.036467,124,109.606983
353.919055,122,110.437149
367.393942,126,111.292482
370.106288,128,112.152877
388.570491,134,113.042035
371.818745,128,113.892224
355.055303,124,114.728204
362.586264,126,115.560431
348.672115,123,116.382214
424.808847,141,117.314561
387.109322,133,118.195599
376.275879,128,119.053997
391.724956,133,119.983354
554.482465,166,121.204734
472.45171,155,122.234106
506.384493,150,123.296018
552.687026,179,124.691449
368.168183,126,125.703499
490.866121,153,127.054622
411.710783,138,128.07715
477.257359,150,129.09265
535.256058,158,130.139592
534.222373,181,131.691779
522.424587,153,132.804149
626.73484,196,134.512827
626.959407,190,135.986347
618.417067,197,137.233689
625.48983,195,138.465673
678.224154,209,139.807653
613.690999,204,141.214493
673.485228,213,142.582032
813.964751,246,144.355672
693.337476,219,145.756523
796.075827,240,147.295157
604.252315,183,148.494038
486.672717,153,149.477947
594.935157,187,150.73944
700.784974,215,152.112078
724.734718,218,153.517468
668.148583,211,154.863753
497.227622,157,155.847735
634.269676,245,157.386054
803.05455,254,158.996107
777.183051,261,160.691651
263.591755,135,161.567722
242.897973,124,162.340659
450.799146,153,163.353601
764.957393,274,165.157637
702.805636,222,166.545046
676.468513,208,167.842656
622.200627,239,169.321664
1105.635396,358,171.528806
992.982112,321,173.520113
711.892087,273,175.203855
585.570495,225,176.652212
1096.032649,340,178.836285
1284.075719,405,181.35457
947.148195,298,183.258301
610.560058,218,184.637462
801.224035,264,186.262578
968.082374,305,188.13721
1152.358506,348,190.296374
1115.877556,324,192.31786
1025.025917,284,194.101481
1118.076976,318,196.126129
793.942099,235,197.577236
1024.160329,286,199.333182
824.423991,239,200.806152
995.55939,298,202.637216
1308.146155,381,205.04115
1042.198235,294,206.883732
